lat:49.6497000 lon:19.8311000
lat:49.6372300 lon:19.8258200
lat:49.6483600 lon:19.8504000
lat:49.6497500 lon:19.8283400
lat:49.6554600 lon:19.8301900
lat:49.6490700 lon:19.8278800
lat:49.6503900 lon:19.8305000
lat:49.6507700 lon:19.8333700
lat:49.6519600 lon:19.8236600
lat:49.6477400 lon:19.8275100
lat:49.6526300 lon:19.8334200
lat:49.6497800 lon:19.8330100
lat:49.6402600 lon:19.8281800
lat:49.6530400 lon:19.8390600
lat:49.6489600 lon:19.8253700
lat:49.6411000 lon:19.8286400
lat:49.6480400 lon:19.8510800
lat:49.6485300 lon:19.8508900
lat:49.6479000 lon:19.8514000
lat:49.6487600 lon:19.8259800
lat:49.6453200 lon:19.8262200
lat:49.6511600 lon:19.8317600
lat:49.6485500 lon:19.8516500
lat:49.6547900 lon:19.8380100
lat:49.6370000 lon:19.8256600
lat:49.6513500 lon:19.8316800
lat:49.6488600 lon:19.8524900
lat:49.6477300 lon:19.8517600
lat:49.6519700 lon:19.8234400
lat:49.6489200 lon:19.8252600
lat:49.6526900 lon:19.8336100
lat:49.6498100 lon:19.8330700
lat:49.6482000 lon:19.8518800
lat:49.6549200 lon:19.8378300
lat:49.6488500 lon:19.8615600
lat:49.6459800 lon:19.8492700
lat:49.6478300 lon:19.8219200
lat:49.6474600 lon:19.8506700
lat:49.6444400 lon:19.8705900
lat:49.6487100 lon:19.8274700
lat:49.6491800 lon:19.8271600
lat:49.6458800 lon:19.8271800
lat:49.6395200 lon:19.8201000
lat:49.6483800 lon:19.8462200
lat:49.6544700 lon:19.8380000
lat:49.6373000 lon:19.8266900
lat:49.6476500 lon:19.8174400
lat:49.6438900 lon:19.8397700
lat:49.6474800 lon:19.8505200
lat:49.6442600 lon:19.8643900
lat:49.6477200 lon:19.8171700
lat:49.6483700 lon:19.8220400
lat:49.6509300 lon:19.8470600
lat:49.6462700 lon:19.8153500
lat:49.6436500 lon:19.8392700
lat:49.6500300 lon:19.8463300
lat:49.6461000 lon:19.8502700
lat:49.6477700 lon:19.8185500
lat:49.6433900 lon:19.8393000
lat:49.6508600 lon:19.8466200
lat:49.6434800 lon:19.8692000
lat:49.6456200 lon:19.8204200
lat:49.6433000 lon:19.8386700
lat:49.6492300 lon:19.8543400
lat:49.6441800 lon:19.8640800
lat:49.6485900 lon:19.8224900
